"UF";"COD_MUN";"NOME_MUN";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"RN";240940;"Pau dos Ferros";210;239;88;"NÃO";88;"NÃO ALCANÇOU"
"RN";240950;"Pedra Grande";20;20;100;"SIM";100;"ALCANÇOU"
"RN";240960;"Pedra Preta";20;16;125;"SIM";125;"ALCANÇOU"
"RN";240970;"Pedro Avelino";27;18;150;"SIM";150;"ALCANÇOU"
"RN";240980;"Pedro Velho";100;93;108;"SIM";108;"ALCANÇOU"
"RN";240990;"Pendências";93;78;119;"SIM";119;"ALCANÇOU"
"RN";241000;"Pilões";25;26;96;"SIM";96;"ALCANÇOU"
"RN";241010;"Poço Branco";63;87;72;"NÃO";72;"NÃO ALCANÇOU"
"RN";241020;"Portalegre";41;62;66;"NÃO";66;"NÃO ALCANÇOU"
"RN";241025;"Porto do Mangue";28;31;90;"SIM";90;"ALCANÇOU"
"RN";241030;"Serra Caiada";53;62;85;"NÃO";85;"NÃO ALCANÇOU"
"RN";241040;"Pureza";31;46;67;"NÃO";67;"NÃO ALCANÇOU"
"RN";241050;"Rafael Fernandes";22;27;81;"NÃO";81;"NÃO ALCANÇOU"
"RN";241060;"Rafael Godeiro";18;19;95;"SIM";95;"ALCANÇOU"
"RN";241070;"Riacho da Cruz";18;21;86;"NÃO";86;"NÃO ALCANÇOU"
"RN";241080;"Riacho de Santana";43;25;172;"SIM";172;"ALCANÇOU"
"RN";241090;"Riachuelo";32;35;91;"SIM";91;"ALCANÇOU"
"RN";241100;"Rodolfo Fernandes";38;41;93;"SIM";93;"ALCANÇOU"
"RN";241105;"Tibau";44;23;191;"SIM";191;"ALCANÇOU"
"RN";241110;"Ruy Barbosa";18;16;113;"SIM";113;"ALCANÇOU"
"RN";241120;"Santa Cruz";261;230;113;"SIM";113;"ALCANÇOU"
"RN";241140;"Santana do Matos";88;71;124;"SIM";124;"ALCANÇOU"
"RN";241142;"Santana do Seridó";18;12;150;"SIM";150;"ALCANÇOU"
"RN";241150;"Santo Antônio";143;129;111;"SIM";111;"ALCANÇOU"
"RN";241160;"São Bento do Norte";26;21;124;"SIM";124;"ALCANÇOU"
"RN";241170;"São Bento do Trairí";16;19;84;"NÃO";84;"NÃO ALCANÇOU"
"RN";241180;"São Fernando";28;25;112;"SIM";112;"ALCANÇOU"
"RN";241190;"São Francisco do Oeste";33;23;143;"SIM";143;"ALCANÇOU"
"RN";241200;"São Gonçalo do Amarante";596;649;92;"SIM";92;"ALCANÇOU"
"RN";241210;"São João do Sabugi";66;41;161;"SIM";161;"ALCANÇOU"
"RN";241220;"São José de Mipibu";253;276;92;"SIM";92;"ALCANÇOU"
"RN";241230;"São José do Campestre";83;79;105;"SIM";105;"ALCANÇOU"
"RN";241240;"São José do Seridó";35;24;146;"SIM";146;"ALCANÇOU"
"RN";241250;"São Miguel";134;194;69;"NÃO";69;"NÃO ALCANÇOU"
"RN";241255;"São Miguel do Gostoso";45;63;71;"NÃO";71;"NÃO ALCANÇOU"
"RN";241260;"São Paulo do Potengi";95;110;86;"NÃO";86;"NÃO ALCANÇOU"
"RN";241270;"São Pedro";22;37;59;"NÃO";59;"NÃO ALCANÇOU"
"RN";241280;"São Rafael";51;53;96;"SIM";96;"ALCANÇOU"
"RN";241290;"São Tomé";69;60;115;"SIM";115;"ALCANÇOU"
"RN";241300;"São Vicente";52;30;173;"SIM";173;"ALCANÇOU"
"RN";241310;"Senador Elói de Souza";37;40;93;"SIM";93;"ALCANÇOU"
"RN";241320;"Senador Georgino Avelino";24;15;160;"SIM";160;"ALCANÇOU"
"RN";241330;"Serra de São Bento";41;30;137;"SIM";137;"ALCANÇOU"
"RN";241335;"Serra do Mel";69;58;119;"SIM";119;"ALCANÇOU"
"RN";241340;"Serra Negra do Norte";49;68;72;"NÃO";72;"NÃO ALCANÇOU"
"RN";241350;"Serrinha";35;37;95;"SIM";95;"ALCANÇOU"
"RN";241355;"Serrinha dos Pintos";36;41;88;"NÃO";88;"NÃO ALCANÇOU"
"RN";241360;"Severiano Melo";46;44;105;"SIM";105;"ALCANÇOU"
"RN";241370;"Sítio Novo";37;22;168;"SIM";168;"ALCANÇOU"
