"UF";"IBGE";"Município";"Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"MG";313550;"Jequeri";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313560;"Jequitaí";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313570;"Jequitibá";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313580;"Jequitinhonha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313590;"Jesuânia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313600;"Joaíma";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313610;"Joanésia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313620;"João Monlevade";;2;2;100;100;"ALCANÇOU"
"MG";313630;"João Pinheiro";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313640;"Joaquim Felício";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313650;"Jordânia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313652;"José Gonçalves de Minas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313655;"José Raydan";;0;4;0;0;"NÃO ALCANÇOU"
"MG";313657;"Josenópolis";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313660;"Nova União";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313665;"Juatuba";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313670;"Juiz de Fora";;7;7;100;100;"ALCANÇOU"
"MG";313680;"Juramento";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313690;"Juruaia";;0;1;0;0;"NÃO ALCANÇOU"
"MG";313695;"Juvenília";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313700;"Ladainha";;1;2;50;50;"NÃO ALCANÇOU"
"MG";313710;"Lagamar";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313720;"Lagoa da Prata";;1;1;100;100;"ALCANÇOU"
"MG";313730;"Lagoa dos Patos";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313740;"Lagoa Dourada";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313750;"Lagoa Formosa";;1;1;100;100;"ALCANÇOU"
"MG";313753;"Lagoa Grande";;1;1;100;100;"ALCANÇOU"
"MG";313760;"Lagoa Santa";;3;3;100;100;"ALCANÇOU"
"MG";313770;"Lajinha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313780;"Lambari";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313790;"Lamim";;3;3;100;100;"ALCANÇOU"
"MG";313800;"Laranjal";;1;1;100;100;"ALCANÇOU"
"MG";313810;"Lassance";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313820;"Lavras";;2;2;100;100;"ALCANÇOU"
"MG";313830;"Leandro Ferreira";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313835;"Leme do Prado";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313840;"Leopoldina";;2;2;100;100;"ALCANÇOU"
"MG";313850;"Liberdade";;1;1;100;100;"ALCANÇOU"
"MG";313860;"Lima Duarte";;1;1;100;100;"ALCANÇOU"
"MG";313862;"Limeira do Oeste";;5;6;83,3333333333333;83,3;"ALCANÇOU"
"MG";313865;"Lontra";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313867;"Luisburgo";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313868;"Luislândia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313870;"Luminárias";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313880;"Luz";;1;1;100;100;"ALCANÇOU"
"MG";313890;"Machacalis";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313900;"Machado";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313910;"Madre de Deus de Minas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313920;"Malacacheta";;1;1;100;100;"ALCANÇOU"
"MG";313925;"Mamonas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313930;"Manga";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313940;"Manhuaçu";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313950;"Manhumirim";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313960;"Mantena";;0;1;0;0;"NÃO ALCANÇOU"
"MG";313970;"Maravilhas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313980;"Mar de Espanha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";313990;"Maria da Fé";;12;13;92,3076923076923;92,3;"ALCANÇOU"
"MG";314000;"Mariana";;1;2;50;50;"NÃO ALCANÇOU"
"MG";314010;"Marilac";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314015;"Mário Campos";;2;3;66,6666666666667;66,7;"NÃO ALCANÇOU"
"MG";314020;"Maripá de Minas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314030;"Marliéria";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314040;"Marmelópolis";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314050;"Martinho Campos";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314053;"Martins Soares";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314055;"Mata Verde";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314060;"Materlândia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314070;"Mateus Leme";;2;2;100;100;"ALCANÇOU"
"MG";314080;"Matias Barbosa";;1;3;33,3333333333333;33,3;"NÃO ALCANÇOU"
"MG";314085;"Matias Cardoso";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314090;"Matipó";;1;2;50;50;"NÃO ALCANÇOU"
"MG";314100;"Mato Verde";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314110;"Matozinhos";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314120;"Matutina";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314130;"Medeiros";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314140;"Medina";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314150;"Mendes Pimentel";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314160;"Mercês";;1;1;100;100;"ALCANÇOU"
"MG";314170;"Mesquita";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314180;"Minas Novas";;1;7;14,2857142857143;14,3;"NÃO ALCANÇOU"
"MG";314190;"Minduri";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314200;"Mirabela";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314210;"Miradouro";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314220;"Miraí";;1;2;50;50;"NÃO ALCANÇOU"
"MG";314225;"Miravânia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314230;"Moeda";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314240;"Moema";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314250;"Monjolos";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314260;"Monsenhor Paulo";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314270;"Montalvânia";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314280;"Monte Alegre de Minas";;7;7;100;100;"ALCANÇOU"
"MG";314290;"Monte Azul";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314300;"Monte Belo";;2;4;50;50;"NÃO ALCANÇOU"
"MG";314310;"Monte Carmelo";;2;2;100;100;"ALCANÇOU"
"MG";314315;"Monte Formoso";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314320;"Monte Santo de Minas";;2;3;66,6666666666667;66,7;"NÃO ALCANÇOU"
"MG";314330;"Montes Claros";;21;22;95,4545454545455;95,5;"ALCANÇOU"
"MG";314340;"Monte Sião";;1;1;100;100;"ALCANÇOU"
"MG";314345;"Montezuma";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314350;"Morada Nova de Minas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314360;"Morro da Garça";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314370;"Morro do Pilar";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314380;"Munhoz";;1;1;100;100;"ALCANÇOU"
"MG";314390;"Muriaé";;13;13;100;100;"ALCANÇOU"
"MG";314400;"Mutum";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314410;"Muzambinho";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314420;"Nacip Raydan";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314430;"Nanuque";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314435;"Naque";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314437;"Natalândia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314440;"Natércia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314450;"Nazareno";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314460;"Nepomuceno";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314465;"Ninheira";;0;2;0;0;"NÃO ALCANÇOU"
"MG";314467;"Nova Belém";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314470;"Nova Era";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314480;"Nova Lima";;44;49;89,7959183673469;89,8;"ALCANÇOU"
"MG";314490;"Nova Módica";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314500;"Nova Ponte";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314505;"Nova Porteirinha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314510;"Nova Resende";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314520;"Nova Serrana";;2;3;66,6666666666667;66,7;"NÃO ALCANÇOU"
"MG";314530;"Novo Cruzeiro";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314535;"Novo Oriente de Minas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314537;"Novorizonte";;1;1;100;100;"ALCANÇOU"
"MG";314540;"Olaria";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314545;"Olhos-d'Água";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314550;"Olímpio Noronha";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314560;"Oliveira";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314570;"Oliveira Fortes";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314580;"Onça de Pitangui";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314585;"Oratórios";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314587;"Orizânia";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314590;"Ouro Branco";;3;3;100;100;"ALCANÇOU"
"MG";314600;"Ouro Fino";;0;6;0;0;"NÃO ALCANÇOU"
"MG";314610;"Ouro Preto";;1;1;100;100;"ALCANÇOU"
"MG";314620;"Ouro Verde de Minas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314625;"Padre Carvalho";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314630;"Padre Paraíso";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314640;"Paineiras";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314650;"Pains";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314655;"Pai Pedro";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314660;"Paiva";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314670;"Palma";;1;1;100;100;"ALCANÇOU"
"MG";314675;"Palmópolis";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314690;"Papagaios";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314700;"Paracatu";;3;5;60;60;"NÃO ALCANÇOU"
"MG";314710;"Pará de Minas";;3;4;75;75;"NÃO ALCANÇOU"
"MG";314720;"Paraguaçu";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314730;"Paraisópolis";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314740;"Paraopeba";;2;3;66,6666666666667;66,7;"NÃO ALCANÇOU"
"MG";314750;"Passabém";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314760;"Passa Quatro";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314770;"Passa Tempo";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314780;"Passa-Vinte";;3;3;100;100;"ALCANÇOU"
"MG";314790;"Passos";;6;7;85,7142857142857;85,7;"ALCANÇOU"
"MG";314795;"Patis";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314800;"Patos de Minas";;12;12;100;100;"ALCANÇOU"
"MG";314810;"Patrocínio";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314820;"Patrocínio do Muriaé";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314830;"Paula Cândido";;1;1;100;100;"ALCANÇOU"
"MG";314840;"Paulistas";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314850;"Pavão";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314860;"Peçanha";;10;13;76,9230769230769;76,9;"NÃO ALCANÇOU"
"MG";314870;"Pedra Azul";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314875;"Pedra Bonita";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314880;"Pedra do Anta";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314890;"Pedra do Indaiá";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314900;"Pedra Dourada";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314910;"Pedralva";;5;7;71,4285714285714;71,4;"NÃO ALCANÇOU"
"MG";314915;"Pedras de Maria da Cruz";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314920;"Pedrinópolis";;1;1;100;100;"ALCANÇOU"
"MG";314930;"Pedro Leopoldo";;3;3;100;100;"ALCANÇOU"
"MG";314940;"Pedro Teixeira";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314950;"Pequeri";;1;1;100;100;"ALCANÇOU"
"MG";314960;"Pequi";"X";0;0;;;"NÃO ALCANÇOU"
"MG";314970;"Perdigão";;0;1;0;0;"NÃO ALCANÇOU"
"MG";314980;"Perdizes";;0;2;0;0;"NÃO ALCANÇOU"
