"UF";"cod_mun";"NUM_2025.a";"DEN_2025.a";"NUM_2025";"DEN_2025";"RES_2025";"Alcançou a meta?";"RES";"METAS"
"MA";210540;218;218;18,1666666666667;18,1666666666667;1;"Sim";100;"ALCANÇOU"
"MA";210542;76;77;6,33333333333333;6,41666666666667;0,987012987012987;"Sim";98,7;"ALCANÇOU"
"MA";210545;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210547;72;84;6;7;0,857142857142857;"Sim";85,7;"ALCANÇOU"
"MA";210550;67;70;5,58333333333333;5,83333333333333;0,957142857142857;"Sim";95,7;"ALCANÇOU"
"MA";210560;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210565;8;8;0,666666666666667;0,666666666666667;1;"Sim";100;"ALCANÇOU"
"MA";210570;133;140;11,0833333333333;11,6666666666667;0,95;"Sim";95;"ALCANÇOU"
"MA";210580;25;60;2,08333333333333;5;0,416666666666667;"Não";41,7;"NÃO ALCANÇOU"
"MA";210590;96;108;8;9;0,888888888888889;"Sim";88,9;"ALCANÇOU"
"MA";210592;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210594;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210596;60;60;5;5;1;"Sim";100;"ALCANÇOU"
"MA";210598;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210600;94;108;7,83333333333333;9;0,87037037037037;"Sim";87;"ALCANÇOU"
"MA";210610;11;20;0,916666666666667;1,66666666666667;0,55;"Não";55;"NÃO ALCANÇOU"
"MA";210620;37;48;3,08333333333333;4;0,770833333333333;"Não";77,1;"NÃO ALCANÇOU"
"MA";210630;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210632;84;96;7;8;0,875;"Sim";87,5;"ALCANÇOU"
"MA";210635;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210637;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210640;76;96;6,33333333333333;8;0,791666666666667;"Não";79,2;"NÃO ALCANÇOU"
"MA";210650;138;144;11,5;12;0,958333333333333;"Sim";95,8;"ALCANÇOU"
"MA";210660;144;154;12;12,8333333333333;0,935064935064935;"Sim";93,5;"ALCANÇOU"
"MA";210663;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210667;47;48;3,91666666666667;4;0,979166666666667;"Sim";97,9;"ALCANÇOU"
"MA";210670;20;22;1,66666666666667;1,83333333333333;0,909090909090909;"Sim";90,9;"ALCANÇOU"
"MA";210675;78;81;6,5;6,75;0,962962962962963;"Sim";96,3;"ALCANÇOU"
"MA";210680;0;16;0;1,33333333333333;0;"Não";0;"NÃO ALCANÇOU"
"MA";210690;127;140;10,5833333333333;11,6666666666667;0,907142857142857;"Sim";90,7;"ALCANÇOU"
"MA";210700;27;30;2,25;2,5;0,9;"Sim";90;"ALCANÇOU"
"MA";210710;84;84;7;7;1;"Sim";100;"ALCANÇOU"
"MA";210720;41;52;3,41666666666667;4,33333333333333;0,788461538461538;"Não";78,8;"NÃO ALCANÇOU"
"MA";210725;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210730;6;6;0,5;0,5;1;"Sim";100;"ALCANÇOU"
"MA";210735;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210740;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210745;68;72;5,66666666666667;6;0,944444444444444;"Sim";94,4;"ALCANÇOU"
"MA";210750;218;218;18,1666666666667;18,1666666666667;1;"Sim";100;"ALCANÇOU"
"MA";210760;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210770;105;108;8,75;9;0,972222222222222;"Sim";97,2;"ALCANÇOU"
"MA";210780;156;168;13;14;0,928571428571429;"Sim";92,9;"ALCANÇOU"
"MA";210790;119;120;9,91666666666667;10;0,991666666666667;"Sim";99,2;"ALCANÇOU"
"MA";210800;15;28;1,25;2,33333333333333;0,535714285714286;"Não";53,6;"NÃO ALCANÇOU"
"MA";210805;28;28;2,33333333333333;2,33333333333333;1;"Sim";100;"ALCANÇOU"
"MA";210810;84;84;7;7;1;"Sim";100;"ALCANÇOU"
"MA";210820;166;168;13,8333333333333;14;0,988095238095238;"Sim";98,8;"ALCANÇOU"
"MA";210825;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210830;84;84;7;7;1;"Sim";100;"ALCANÇOU"
"MA";210840;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210845;72;72;6;6;1;"Sim";100;"ALCANÇOU"
"MA";210850;60;60;5;5;1;"Sim";100;"ALCANÇOU"
"MA";210860;304;336;25,3333333333333;28;0,904761904761905;"Sim";90,5;"ALCANÇOU"
"MA";210870;113;132;9,41666666666667;11;0,856060606060606;"Sim";85,6;"ALCANÇOU"
"MA";210880;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";210890;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";210900;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";210905;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210910;18;30;1,5;2,5;0,6;"Não";60;"NÃO ALCANÇOU"
"MA";210920;53;56;4,41666666666667;4,66666666666667;0,946428571428571;"Sim";94,6;"ALCANÇOU"
"MA";210923;43;48;3,58333333333333;4;0,895833333333333;"Sim";89,6;"ALCANÇOU"
"MA";210927;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";210930;48;60;4;5;0,8;"Sim";80;"ALCANÇOU"
"MA";210940;36;48;3;4;0,75;"Não";75;"NÃO ALCANÇOU"
"MA";210945;72;72;6;6;1;"Sim";100;"ALCANÇOU"
"MA";210950;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";210955;24;24;2;2;1;"Sim";100;"ALCANÇOU"
"MA";210960;161;161;13,4166666666667;13,4166666666667;1;"Sim";100;"ALCANÇOU"
"MA";210970;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210975;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";210980;130;132;10,8333333333333;11;0,984848484848485;"Sim";98,5;"ALCANÇOU"
"MA";210990;256;274;21,3333333333333;22,8333333333333;0,934306569343066;"Sim";93,4;"ALCANÇOU"
"MA";211000;316;324;26,3333333333333;27;0,975308641975309;"Sim";97,5;"ALCANÇOU"
"MA";211003;96;110;8;9,16666666666667;0,872727272727273;"Sim";87,3;"ALCANÇOU"
"MA";211010;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";211020;26;46;2,16666666666667;3,83333333333333;0,565217391304348;"Não";56,5;"NÃO ALCANÇOU"
"MA";211023;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";211027;15;36;1,25;3;0,416666666666667;"Não";41,7;"NÃO ALCANÇOU"
"MA";211030;95;108;7,91666666666667;9;0,87962962962963;"Sim";88;"ALCANÇOU"
"MA";211040;108;113;9;9,41666666666667;0,955752212389381;"Sim";95,6;"ALCANÇOU"
"MA";211050;137;228;11,4166666666667;19;0,600877192982456;"Não";60,1;"NÃO ALCANÇOU"
"MA";211060;0;0;0;0;;;;"NÃO ALCANÇOU"
"MA";211065;60;60;5;5;1;"Sim";100;"ALCANÇOU"
"MA";211070;0;12;0;1;0;"Não";0;"NÃO ALCANÇOU"
"MA";211080;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";211085;60;72;5;6;0,833333333333333;"Sim";83,3;"ALCANÇOU"
"MA";211090;72;72;6;6;1;"Sim";100;"ALCANÇOU"
"MA";211100;102;102;8,5;8,5;1;"Sim";100;"ALCANÇOU"
"MA";211102;36;48;3;4;0,75;"Não";75;"NÃO ALCANÇOU"
"MA";211105;12;12;1;1;1;"Sim";100;"ALCANÇOU"
"MA";211107;96;96;8;8;1;"Sim";100;"ALCANÇOU"
"MA";211110;132;132;11;11;1;"Sim";100;"ALCANÇOU"
"MA";211120;8;8;0,666666666666667;0,666666666666667;1;"Sim";100;"ALCANÇOU"
