"UF";"COD_MUN";"NOME_MUN";"Ausencia_de_Casos";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"SP";350740;"Borborema";;54;55;98,1818181818182;98,2;"ALCANÇOU"
"SP";350745;"Borebi";;1;1;100;100;"ALCANÇOU"
"SP";350750;"Botucatu";;987;987;100;100;"ALCANÇOU"
"SP";350760;"Bragança Paulista";;426;445;95,7303370786517;95,7;"ALCANÇOU"
"SP";350770;"Braúna";;18;19;94,7368421052632;94,7;"ALCANÇOU"
"SP";350775;"Brejo Alegre";"X";;;;;"NÃO ALCANÇOU"
"SP";350780;"Brodowski";;34;34;100;100;"ALCANÇOU"
"SP";350790;"Brotas";;144;145;99,3103448275862;99,3;"ALCANÇOU"
"SP";350800;"Buri";;50;50;100;100;"ALCANÇOU"
"SP";350810;"Buritama";;51;51;100;100;"ALCANÇOU"
"SP";350820;"Buritizal";;1;1;100;100;"ALCANÇOU"
"SP";350830;"Cabrália Paulista";;26;26;100;100;"ALCANÇOU"
"SP";350840;"Cabreúva";;171;176;97,1590909090909;97,2;"ALCANÇOU"
"SP";350850;"Caçapava";;255;256;99,609375;99,6;"ALCANÇOU"
"SP";350860;"Cachoeira Paulista";;121;125;96,8;96,8;"ALCANÇOU"
"SP";350870;"Caconde";;45;45;100;100;"ALCANÇOU"
"SP";350880;"Cafelândia";;17;17;100;100;"ALCANÇOU"
"SP";350890;"Caiabu";"X";;;;;"NÃO ALCANÇOU"
"SP";350900;"Caieiras";;433;433;100;100;"ALCANÇOU"
"SP";350910;"Caiuá";"X";;;;;"NÃO ALCANÇOU"
"SP";350920;"Cajamar";;543;543;100;100;"ALCANÇOU"
"SP";350925;"Cajati";;189;208;90,8653846153846;90,9;"NÃO ALCANÇOU"
"SP";350930;"Cajobi";;26;26;100;100;"ALCANÇOU"
"SP";350940;"Cajuru";;41;41;100;100;"ALCANÇOU"
"SP";350945;"Campina do Monte Alegre";;4;4;100;100;"ALCANÇOU"
"SP";350950;"Campinas";;4048;4076;99,3130520117763;99,3;"ALCANÇOU"
"SP";350960;"Campo Limpo Paulista";;139;147;94,5578231292517;94,6;"ALCANÇOU"
"SP";350970;"Campos do Jordão";;480;480;100;100;"ALCANÇOU"
"SP";350980;"Campos Novos Paulista";;30;30;100;100;"ALCANÇOU"
"SP";350990;"Cananéia";;133;134;99,2537313432836;99,3;"ALCANÇOU"
"SP";350995;"Canas";"X";;;;;"NÃO ALCANÇOU"
"SP";351000;"Cândido Mota";;98;103;95,1456310679612;95,1;"ALCANÇOU"
"SP";351010;"Cândido Rodrigues";;3;3;100;100;"ALCANÇOU"
"SP";351015;"Canitar";;1;1;100;100;"ALCANÇOU"
"SP";351020;"Capão Bonito";;83;84;98,8095238095238;98,8;"ALCANÇOU"
"SP";351030;"Capela do Alto";;218;222;98,1981981981982;98,2;"ALCANÇOU"
"SP";351040;"Capivari";;203;204;99,5098039215686;99,5;"ALCANÇOU"
"SP";351050;"Caraguatatuba";;1297;1496;86,6978609625668;86,7;"NÃO ALCANÇOU"
"SP";351060;"Carapicuíba";;467;468;99,7863247863248;99,8;"ALCANÇOU"
"SP";351070;"Cardoso";;44;44;100;100;"ALCANÇOU"
"SP";351080;"Casa Branca";;175;177;98,8700564971751;98,9;"ALCANÇOU"
"SP";351090;"Cássia dos Coqueiros";;3;3;100;100;"ALCANÇOU"
"SP";351100;"Castilho";;73;73;100;100;"ALCANÇOU"
"SP";351110;"Catanduva";;321;322;99,6894409937888;99,7;"ALCANÇOU"
"SP";351120;"Catiguá";;1;1;100;100;"ALCANÇOU"
"SP";351130;"Cedral";;85;85;100;100;"ALCANÇOU"
"SP";351140;"Cerqueira César";;45;45;100;100;"ALCANÇOU"
"SP";351150;"Cerquilho";;150;151;99,3377483443709;99,3;"ALCANÇOU"
"SP";351160;"Cesário Lange";;22;22;100;100;"ALCANÇOU"
"SP";351170;"Charqueada";;92;109;84,4036697247706;84,4;"NÃO ALCANÇOU"
"SP";351190;"Clementina";;13;13;100;100;"ALCANÇOU"
"SP";351200;"Colina";;133;133;100;100;"ALCANÇOU"
"SP";351210;"Colômbia";;33;33;100;100;"ALCANÇOU"
"SP";351220;"Conchal";;38;47;80,8510638297872;80,9;"NÃO ALCANÇOU"
"SP";351230;"Conchas";;63;64;98,4375;98,4;"ALCANÇOU"
"SP";351240;"Cordeirópolis";;119;257;46,3035019455253;46,3;"NÃO ALCANÇOU"
"SP";351250;"Coroados";;7;7;100;100;"ALCANÇOU"
"SP";351260;"Coronel Macedo";;9;9;100;100;"ALCANÇOU"
"SP";351270;"Corumbataí";;10;10;100;100;"ALCANÇOU"
"SP";351280;"Cosmópolis";;109;111;98,1981981981982;98,2;"ALCANÇOU"
"SP";351290;"Cosmorama";;47;47;100;100;"ALCANÇOU"
"SP";351300;"Cotia";;979;981;99,796126401631;99,8;"ALCANÇOU"
"SP";351310;"Cravinhos";;23;23;100;100;"ALCANÇOU"
"SP";351320;"Cristais Paulista";;6;7;85,7142857142857;85,7;"NÃO ALCANÇOU"
"SP";351330;"Cruzália";;3;3;100;100;"ALCANÇOU"
"SP";351340;"Cruzeiro";;339;348;97,4137931034483;97,4;"ALCANÇOU"
"SP";351350;"Cubatão";;561;562;99,8220640569395;99,8;"ALCANÇOU"
"SP";351360;"Cunha";;39;39;100;100;"ALCANÇOU"
"SP";351370;"Descalvado";;26;26;100;100;"ALCANÇOU"
"SP";351380;"Diadema";;1561;1589;98,2378854625551;98,2;"ALCANÇOU"
"SP";351385;"Dirce Reis";"X";;;;;"NÃO ALCANÇOU"
"SP";351390;"Divinolândia";;7;10;70;70;"NÃO ALCANÇOU"
"SP";351400;"Dobrada";;5;5;100;100;"ALCANÇOU"
"SP";351410;"Dois Córregos";;78;78;100;100;"ALCANÇOU"
"SP";351420;"Dolcinópolis";;2;2;100;100;"ALCANÇOU"
"SP";351430;"Dourado";;16;16;100;100;"ALCANÇOU"
"SP";351440;"Dracena";;60;60;100;100;"ALCANÇOU"
"SP";351450;"Duartina";;132;135;97,7777777777778;97,8;"ALCANÇOU"
"SP";351460;"Dumont";;22;22;100;100;"ALCANÇOU"
"SP";351470;"Echaporã";;8;9;88,8888888888889;88,9;"NÃO ALCANÇOU"
"SP";351480;"Eldorado";;15;16;93,75;93,8;"NÃO ALCANÇOU"
"SP";351490;"Elias Fausto";"X";;;;;"NÃO ALCANÇOU"
"SP";351492;"Elisiário";;3;3;100;100;"ALCANÇOU"
"SP";351495;"Embaúba";"X";;;;;"NÃO ALCANÇOU"
"SP";351500;"Embu das Artes";;470;478;98,326359832636;98,3;"ALCANÇOU"
"SP";351510;"Embu-Guaçu";;341;341;100;100;"ALCANÇOU"
"SP";351512;"Emilianópolis";"X";;;;;"NÃO ALCANÇOU"
"SP";351515;"Engenheiro Coelho";;35;36;97,2222222222222;97,2;"ALCANÇOU"
"SP";351518;"Espírito Santo do Pinhal";;153;153;100;100;"ALCANÇOU"
"SP";351519;"Espírito Santo do Turvo";;13;13;100;100;"ALCANÇOU"
"SP";351520;"Estrela dOeste";;62;63;98,4126984126984;98,4;"ALCANÇOU"
"SP";351530;"Estrela do Norte";;1;1;100;100;"ALCANÇOU"
"SP";351535;"Euclides da Cunha Paulista";;59;59;100;100;"ALCANÇOU"
"SP";351540;"Fartura";;8;8;100;100;"ALCANÇOU"
"SP";351550;"Fernandópolis";;250;253;98,8142292490119;98,8;"ALCANÇOU"
"SP";351560;"Fernando Prestes";;12;12;100;100;"ALCANÇOU"
"SP";351565;"Fernão";;15;15;100;100;"ALCANÇOU"
"SP";351570;"Ferraz de Vasconcelos";;974;982;99,1853360488798;99,2;"ALCANÇOU"
"SP";351580;"Flora Rica";;2;2;100;100;"ALCANÇOU"
"SP";351590;"Floreal";;2;2;100;100;"ALCANÇOU"
"SP";351600;"Flórida Paulista";;4;4;100;100;"ALCANÇOU"
"SP";351610;"Florínia";;20;21;95,2380952380952;95,2;"ALCANÇOU"
"SP";351620;"Franca";;641;700;91,5714285714286;91,6;"NÃO ALCANÇOU"
"SP";351630;"Francisco Morato";;804;807;99,6282527881041;99,6;"ALCANÇOU"
"SP";351640;"Franco da Rocha";;521;521;100;100;"ALCANÇOU"
"SP";351650;"Gabriel Monteiro";"X";;;;;"NÃO ALCANÇOU"
"SP";351660;"Gália";;45;46;97,8260869565217;97,8;"ALCANÇOU"
"SP";351670;"Garça";;184;186;98,9247311827957;98,9;"ALCANÇOU"
"SP";351680;"Gastão Vidigal";"X";;;;;"NÃO ALCANÇOU"
"SP";351685;"Gavião Peixoto";;12;12;100;100;"ALCANÇOU"
"SP";351690;"General Salgado";;18;18;100;100;"ALCANÇOU"
"SP";351700;"Getulina";"X";;;;;"NÃO ALCANÇOU"
"SP";351710;"Glicério";;2;2;100;100;"ALCANÇOU"
"SP";351720;"Guaiçara";"X";;;;;"NÃO ALCANÇOU"
"SP";351730;"Guaimbê";;1;1;100;100;"ALCANÇOU"
"SP";351740;"Guaíra";;39;50;78;78;"NÃO ALCANÇOU"
"SP";351750;"Guapiaçu";;49;49;100;100;"ALCANÇOU"
"SP";351760;"Guapiara";;71;71;100;100;"ALCANÇOU"
"SP";351770;"Guará";;21;29;72,4137931034483;72,4;"NÃO ALCANÇOU"
"SP";351780;"Guaraçaí";;8;8;100;100;"ALCANÇOU"
"SP";351790;"Guaraci";;27;40;67,5;67,5;"NÃO ALCANÇOU"
"SP";351800;"Guarani dOeste";"X";;;;;"NÃO ALCANÇOU"
"SP";351810;"Guarantã";;1;1;100;100;"ALCANÇOU"
"SP";351820;"Guararapes";;219;219;100;100;"ALCANÇOU"
"SP";351830;"Guararema";;299;301;99,3355481727575;99,3;"ALCANÇOU"
"SP";351840;"Guaratinguetá";;308;309;99,6763754045307;99,7;"ALCANÇOU"
"SP";351850;"Guareí";;45;45;100;100;"ALCANÇOU"
"SP";351860;"Guariba";;113;119;94,9579831932773;95;"ALCANÇOU"
"SP";351870;"Guarujá";;528;568;92,9577464788732;93;"NÃO ALCANÇOU"
"SP";351880;"Guarulhos";;5011;5115;97,9667644183773;98;"ALCANÇOU"
"SP";351885;"Guatapará";;23;24;95,8333333333333;95,8;"ALCANÇOU"
"SP";351890;"Guzolândia";;5;5;100;100;"ALCANÇOU"
"SP";351900;"Herculândia";;7;7;100;100;"ALCANÇOU"
"SP";351905;"Holambra";;30;34;88,2352941176471;88,2;"NÃO ALCANÇOU"
"SP";351907;"Hortolândia";;925;927;99,7842502696872;99,8;"ALCANÇOU"
"SP";351910;"Iacanga";;38;38;100;100;"ALCANÇOU"
"SP";351920;"Iacri";;4;4;100;100;"ALCANÇOU"
"SP";351925;"Iaras";;47;47;100;100;"ALCANÇOU"
"SP";351930;"Ibaté";;18;20;90;90;"NÃO ALCANÇOU"
"SP";351940;"Ibirá";;64;64;100;100;"ALCANÇOU"
"SP";351950;"Ibirarema";;29;29;100;100;"ALCANÇOU"
"SP";351960;"Ibitinga";;109;129;84,4961240310078;84,5;"NÃO ALCANÇOU"
"SP";351970;"Ibiúna";;72;74;97,2972972972973;97,3;"ALCANÇOU"
"SP";351980;"Icém";;38;38;100;100;"ALCANÇOU"
"SP";351990;"Iepê";;47;47;100;100;"ALCANÇOU"
"SP";352000;"Igaraçu do Tietê";;84;87;96,551724137931;96,6;"ALCANÇOU"
"SP";352010;"Igarapava";;170;197;86,2944162436548;86,3;"NÃO ALCANÇOU"
"SP";352020;"Igaratá";;75;75;100;100;"ALCANÇOU"
"SP";352030;"Iguape";;80;82;97,5609756097561;97,6;"ALCANÇOU"
"SP";352040;"Ilhabela";;454;466;97,4248927038627;97,4;"ALCANÇOU"
"SP";352042;"Ilha Comprida";;83;90;92,2222222222222;92,2;"NÃO ALCANÇOU"
"SP";352044;"Ilha Solteira";;21;21;100;100;"ALCANÇOU"
"SP";352050;"Indaiatuba";;793;822;96,4720194647202;96,5;"ALCANÇOU"
"SP";352060;"Indiana";;2;2;100;100;"ALCANÇOU"
"SP";352070;"Indiaporã";;34;34;100;100;"ALCANÇOU"
"SP";352080;"Inúbia Paulista";"X";;;;;"NÃO ALCANÇOU"
"SP";352090;"Ipaussu";;41;42;97,6190476190476;97,6;"ALCANÇOU"
"SP";352100;"Iperó";;107;110;97,2727272727273;97,3;"ALCANÇOU"
"SP";352110;"Ipeúna";;12;12;100;100;"ALCANÇOU"
"SP";352115;"Ipiguá";;57;57;100;100;"ALCANÇOU"
"SP";352120;"Iporanga";;2;2;100;100;"ALCANÇOU"
"SP";352130;"Ipuã";;46;47;97,8723404255319;97,9;"ALCANÇOU"
"SP";352140;"Iracemápolis";;9;9;100;100;"ALCANÇOU"
"SP";352150;"Irapuã";;16;16;100;100;"ALCANÇOU"
"SP";352160;"Irapuru";;4;4;100;100;"ALCANÇOU"
"SP";352170;"Itaberá";;49;49;100;100;"ALCANÇOU"
"SP";352180;"Itaí";;79;79;100;100;"ALCANÇOU"
"SP";352190;"Itajobi";;19;19;100;100;"ALCANÇOU"
"SP";352200;"Itaju";;10;10;100;100;"ALCANÇOU"
"SP";352210;"Itanhaém";;75;75;100;100;"ALCANÇOU"
"SP";352215;"Itaóca";;3;3;100;100;"ALCANÇOU"
"SP";352220;"Itapecerica da Serra";;296;297;99,6632996632997;99,7;"ALCANÇOU"
