"UF";"COD_MUN";"NOME_MUN";"*Ausência de Casos";"NUM_2025";"DEN_2025";"RES_2025";"ALCANCOU A META?";"RES";"METAS"
"PA";150740;"São Francisco do Pará";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"PA";150745;"São Geraldo do Araguaia";;2;8;25;"NÃO";25;"NÃO ALCANÇOU"
"PA";150746;"São João da Ponta";;2;2;100;"SIM";100;"ALCANÇOU"
"PA";150747;"São João de Pirabas";;21;29;72,4137931034483;"SIM";72,4;"ALCANÇOU"
"PA";150750;"São João do Araguaia";;0;1;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150760;"São Miguel do Guamá";;37;53;69,811320754717;"SIM";69,8;"ALCANÇOU"
"PA";150770;"São Sebastião da Boa Vista";;31;33;93,9393939393939;"SIM";93,9;"ALCANÇOU"
"PA";150775;"Sapucaia";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"PA";150780;"Senador José Porfírio";;7;7;100;"SIM";100;"ALCANÇOU"
"PA";150790;"Soure";;21;23;91,304347826087;"SIM";91,3;"ALCANÇOU"
"PA";150795;"Tailândia";;21;24;87,5;"SIM";87,5;"ALCANÇOU"
"PA";150796;"Terra Alta";;11;15;73,3333333333333;"SIM";73,3;"ALCANÇOU"
"PA";150797;"Terra Santa";;7;7;100;"SIM";100;"ALCANÇOU"
"PA";150800;"Tomé-Açu";;56;63;88,8888888888889;"SIM";88,9;"ALCANÇOU"
"PA";150803;"Tracuateua";;0;10;0;"NÃO";0;"NÃO ALCANÇOU"
"PA";150805;"Trairão";;3;3;100;"SIM";100;"ALCANÇOU"
"PA";150808;"Tucumã";;20;34;58,8235294117647;"NÃO";58,8;"NÃO ALCANÇOU"
"PA";150810;"Tucuruí";;111;171;64,9122807017544;"NÃO";64,9;"NÃO ALCANÇOU"
"PA";150812;"Ulianópolis";;9;9;100;"SIM";100;"ALCANÇOU"
"PA";150815;"Uruará";;10;22;45,4545454545455;"NÃO";45,5;"NÃO ALCANÇOU"
"PA";150820;"Vigia";;57;90;63,3333333333333;"NÃO";63,3;"NÃO ALCANÇOU"
"PA";150830;"Viseu";;79;74;106,756756756757;"SIM";106,8;"ALCANÇOU"
"PA";150835;"Vitória do Xingu";;26;26;100;"SIM";100;"ALCANÇOU"
"PA";150840;"Xinguara";;9;9;100;"SIM";100;"ALCANÇOU"
"AP";160005;"Serra do Navio";;0;2;0;"NÃO";0;"NÃO ALCANÇOU"
"AP";160010;"Amapá";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"AP";160015;"Pedra Branca do Amapari";;6;6;100;"SIM";100;"ALCANÇOU"
"AP";160020;"Calçoene";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"AP";160021;"Cutias";;10;10;100;"SIM";100;"ALCANÇOU"
"AP";160023;"Ferreira Gomes";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"AP";160025;"Itaubal";;0;3;0;"NÃO";0;"NÃO ALCANÇOU"
"AP";160027;"Laranjal do Jari";;62;85;72,9411764705882;"SIM";72,9;"ALCANÇOU"
"AP";160030;"Macapá";;1450;1691;85,7480780603193;"SIM";85,7;"ALCANÇOU"
"AP";160040;"Mazagão";;4;19;21,0526315789474;"NÃO";21,1;"NÃO ALCANÇOU"
"AP";160050;"Oiapoque";;58;64;90,625;"SIM";90,6;"ALCANÇOU"
"AP";160053;"Porto Grande";;19;19;100;"SIM";100;"ALCANÇOU"
"AP";160055;"Pracuúba";;0;3;0;"NÃO";0;"NÃO ALCANÇOU"
"AP";160060;"Santana";;76;77;98,7012987012987;"SIM";98,7;"ALCANÇOU"
"AP";160070;"Tartarugalzinho";;3;3;100;"SIM";100;"ALCANÇOU"
"AP";160080;"Vitória do Jari";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170025;"Abreulândia";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170030;"Aguiarnópolis";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170035;"Aliança do Tocantins";;7;9;77,7777777777778;"SIM";77,8;"ALCANÇOU"
"TO";170040;"Almas";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170070;"Alvorada";;0;7;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170100;"Ananás";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170105;"Angico";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170110;"Aparecida do Rio Negro";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
"TO";170130;"Aragominas";;0;0;0;"NÃO";0;"NÃO ALCANÇOU"
"TO";170190;"Araguacema";;6;7;85,7142857142857;"SIM";85,7;"ALCANÇOU"
"TO";170200;"Araguaçu";"x";;;;"NÃO SE APLICA";;"NÃO ALCANÇOU"
