"Região";"UF";"COD_MUN";"Município";"NUM_2025";"DEN_2025";"RES_2025";"RES";"METAS"
"Norte";"AM";130400;"Silves";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"AM";130406;"Tabatinga";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130410;"Tapauá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130420;"Tefé";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"AM";130423;"Tonantins";4;4;1;100;"ALCANÇOU"
"Norte";"AM";130426;"Uarini";4;4;1;100;"ALCANÇOU"
"Norte";"AM";130430;"Urucará";4;4;1;100;"ALCANÇOU"
"Norte";"AM";130440;"Urucurituba";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RR";140002;"Amajari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140005;"Alto Alegre";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140010;"Boa Vista";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140015;"Bonfim";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RR";140017;"Cantá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140020;"Caracaraí";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140023;"Caroebe";4;4;1;100;"ALCANÇOU"
"Norte";"RR";140028;"Iracema";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140030;"Mucajaí";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140040;"Normandia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140045;"Pacaraima";4;4;1;100;"ALCANÇOU"
"Norte";"RR";140047;"Rorainópolis";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"RR";140050;"São João da Baliza";4;4;1;100;"ALCANÇOU"
"Norte";"RR";140060;"São Luiz";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"RR";140070;"Uiramutã";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150010;"Abaetetuba";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150013;"Abel Figueiredo";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150020;"Acará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150030;"Afuá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150034;"Água Azul do Norte";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150040;"Alenquer";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150050;"Almeirim";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150060;"Altamira";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150070;"Anajás";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150080;"Ananindeua";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150085;"Anapu";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150090;"Augusto Corrêa";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150095;"Aurora do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150100;"Aveiro";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150110;"Bagre";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150120;"Baião";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150125;"Bannach";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150130;"Barcarena";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150140;"Belém";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150145;"Belterra";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150150;"Benevides";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150157;"Bom Jesus do Tocantins";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150160;"Bonito";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150170;"Bragança";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150172;"Brasil Novo";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150175;"Brejo Grande do Araguaia";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150178;"Breu Branco";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150180;"Breves";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150190;"Bujaru";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150195;"Cachoeira do Piriá";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150200;"Cachoeira do Arari";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150210;"Cametá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150215;"Canaã dos Carajás";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150220;"Capanema";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150230;"Capitão Poço";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150240;"Castanhal";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150250;"Chaves";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150260;"Colares";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150270;"Conceição do Araguaia";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150275;"Concórdia do Pará";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150276;"Cumaru do Norte";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150277;"Curionópolis";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150280;"Curralinho";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150285;"Curuá";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150290;"Curuçá";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150293;"Dom Eliseu";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150295;"Eldorado do Carajás";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150300;"Faro";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150304;"Floresta do Araguaia";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150307;"Garrafão do Norte";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150309;"Goianésia do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150310;"Gurupá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150320;"Igarapé-Açu";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150330;"Igarapé-Miri";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150340;"Inhangapi";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150345;"Ipixuna do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150350;"Irituia";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150360;"Itaituba";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150370;"Itupiranga";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150375;"Jacareacanga";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150380;"Jacundá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150390;"Juruti";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150400;"Limoeiro do Ajuru";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150405;"Mãe do Rio";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150410;"Magalhães Barata";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150420;"Marabá";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150430;"Maracanã";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150440;"Marapanim";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150442;"Marituba";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150445;"Medicilândia";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150450;"Melgaço";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150460;"Mocajuba";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150470;"Moju";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150475;"Mojuí dos Campos";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150480;"Monte Alegre";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150490;"Muaná";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150495;"Nova Esperança do Piriá";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150497;"Nova Ipixuna";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150500;"Nova Timboteua";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150503;"Novo Progresso";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150506;"Novo Repartimento";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150510;"Óbidos";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150520;"Oeiras do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150530;"Oriximiná";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150540;"Ourém";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150543;"Ourilândia do Norte";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150548;"Pacajá";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150549;"Palestina do Pará";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150550;"Paragominas";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150553;"Parauapebas";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150555;"Pau D'Arco";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150560;"Peixe-Boi";3;4;0,75;75;"NÃO ALCANÇOU"
"Norte";"PA";150563;"Piçarra";4;4;1;100;"ALCANÇOU"
"Norte";"PA";150565;"Placas";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150570;"Ponta de Pedras";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150580;"Portel";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150590;"Porto de Moz";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150600;"Prainha";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150610;"Primavera";2;4;0,5;50;"NÃO ALCANÇOU"
"Norte";"PA";150611;"Quatipuru";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150613;"Redenção";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150616;"Rio Maria";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150618;"Rondon do Pará";1;4;0,25;25;"NÃO ALCANÇOU"
"Norte";"PA";150619;"Rurópolis";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150620;"Salinópolis";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150630;"Salvaterra";0;4;0;0;"NÃO ALCANÇOU"
"Norte";"PA";150635;"Santa Bárbara do Pará";0;4;0;0;"NÃO ALCANÇOU"
